20        Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets            0.00          ---          ---             ---             ---             ---             ---         0.00 
Gets       422556.03    422556.03         0.00       524.72417       522.23900      1040.38300      1048.57500     34280.70 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     422556.03    422556.03         0.00       524.72417       522.23900      1040.38300      1048.57500     34280.70 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.000      100.000
---
GET       6.975        0.000
GET      66.047        5.000
GET     103.935       10.000
GET     146.431       15.000
GET     205.823       20.000
GET     260.095       25.000
GET     311.295       30.000
GET     364.543       35.000
GET     415.743       40.000
GET     466.943       45.000
GET     522.239       50.000
GET     548.863       52.500
GET     577.535       55.000
GET     602.111       57.500
GET     630.783       60.000
GET     659.455       62.500
GET     684.031       65.000
GET     712.703       67.500
GET     741.375       70.000
GET     770.047       72.500
GET     794.623       75.000
GET     806.911       76.250
GET     819.199       77.500
GET     831.487       78.750
GET     843.775       80.000
GET     856.063       81.250
GET     872.447       82.500
GET     884.735       83.750
GET     897.023       85.000
GET     909.311       86.250
GET     921.599       87.500
GET     929.791       88.125
GET     933.887       88.750
GET     942.079       89.375
GET     946.175       90.000
GET     954.367       90.625
GET     962.559       91.250
GET     966.655       91.875
GET     974.847       92.500
GET     978.943       93.125
GET     987.135       93.750
GET     991.231       94.062
GET     991.231       94.375
GET     995.327       94.688
GET     999.423       95.000
GET    1003.519       95.312
GET    1007.615       95.625
GET    1007.615       95.938
GET    1011.711       96.250
GET    1015.807       96.562
GET    1019.903       96.875
GET    1019.903       97.031
GET    1023.999       97.188
GET    1023.999       97.344
GET    1023.999       97.500
GET    1028.095       97.656
GET    1028.095       97.812
GET    1028.095       97.969
GET    1032.191       98.125
GET    1032.191       98.281
GET    1036.287       98.438
GET    1036.287       98.516
GET    1036.287       98.594
GET    1036.287       98.672
GET    1036.287       98.750
GET    1040.383       98.828
GET    1040.383       98.906
GET    1040.383       98.984
GET    1040.383       99.062
GET    1040.383       99.141
GET    1044.479       99.219
GET    1044.479       99.258
GET    1044.479       99.297
GET    1044.479       99.336
GET    1044.479       99.375
GET    1044.479       99.414
GET    1044.479       99.453
GET    1044.479       99.492
GET    1044.479       99.531
GET    1044.479       99.570
GET    1048.575       99.609
GET    1048.575      100.000
---
WAIT      0.000      100.000
